serial_number;product_name;product_number;inizio_garanzia;fine_garanzia;etichetta;note;smaltito;aula;marca;tipo;macaddress(separare con virgole);note (separare con virgole)
CNC302PRT1;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor5;;0;aula6;HP;Monitor
CZC32016T9;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8873;;0;aula6;HP;Desktop
VLAGD49;ASSEMBLY L171P-9417 Monitor;9417HC2;2007-09-27;2010-09-26;MON14;;0;aula6;Lenovo;Monitor
CZC3186LT8;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;client8860;;0;aula6;HP;Desktop
CN277S513N;;;0000-00-00;0000-00-00;;;0;aula6;HP;Scanner
CZC32016T1;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;client8869;;0;aula6;HP;Desktop
CNC302PTLP;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;MON21;;0;aula6;HP;Monitor
CNC302PRFN;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor15;;0;aula6;HP;Monitor
CZC32016S5;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8853;;0;aula6;HP;Desktop
CNC302PTWL;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor26;;0;aula6;HP;Monitor
CZC32016S8;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8854;;0;aula6;HP;Desktop
MJ17HSHXB12955D;;MJ17BSTSQ/EDC;0000-00-00;0000-00-00;SPSE monitor18;;0;aula6;Lenovo;Monitor
CZC1231L2G;HP Compaq 8100 Elite CMT PC;AY031AV;2011-06-09;2014-07-08;HP Tower5;;0;aula6;HP;Tower
CNC302PRKV;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor9;;0;aula6;HP;Monitor
LMVM1RR;;;0000-00-00;0000-00-00;;PC scollegato;0;aula6;IBM;Desktop
CNC302PRNL;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor21;;0;aula6;HP;Monitor
CNC302PTXP;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor27;;0;aula6;HP;Monitor
CZC32016SZ;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8851;;0;aula6;HP;Desktop
